ID,CRIM,RM,AGE,DIS,B,LSTAT,TARGET
1,0.00632,6.575,65.2,4.09,396.9,4.98,24
4,0.08829,6.012,66.6,5.5605,395.6,12.43,22.9
5,0.22489,6.377,94.3,6.3467,392.52,20.45,15
7,0.09378,5.889,39,5.4509,390.5,15.71,21.7
11,0.7842,5.99,81.7,4.2579,386.75,14.67,17.5
12,0.80271,5.456,36.6,3.7965,288.99,11.69,20.2
13,0.7258,5.727,69.5,3.7965,390.95,11.28,18.2
14,1.25179,5.57,98.1,3.7979,376.57,21.02,13.6
15,0.85204,5.965,89.2,4.0123,392.53,13.83,19.6
17,0.75026,5.924,94.1,4.3996,394.33,16.3,15.6
18,0.84054,5.599,85.7,4.4546,303.42,16.51,13.9
19,0.67191,5.813,90.3,4.682,376.88,14.81,16.6
20,0.95577,6.047,88.8,4.4534,306.38,17.28,14.8
21,1.00245,6.674,87.3,4.239,380.23,11.98,21
22,1.13081,5.713,94.1,4.233,360.17,22.6,12.7
23,1.35472,6.072,100,4.175,376.73,13.04,14.5
25,0.06417,5.933,68.2,3.3603,396.9,9.68,18.9
26,0.09744,5.841,61.4,3.3779,377.56,11.41,20
27,0.08014,5.85,41.5,3.9342,396.9,8.77,21
28,0.02763,6.595,21.8,5.4011,395.63,4.32,30.8
30,0.15936,6.211,6.5,5.7209,394.46,7.44,24.7
31,0.12269,6.069,40,5.7209,389.39,9.55,21.2
32,0.17142,5.682,33.8,5.1004,396.9,10.21,19.3
35,0.08873,5.963,45.7,6.8147,395.56,13.45,19.7
36,0.0536,6.511,21.1,6.8147,396.9,5.28,25
37,0.04981,5.998,21.4,6.8147,396.9,8.43,23.4
38,0.0136,5.888,47.6,7.3197,396.9,14.8,18.9
40,0.02055,6.383,35.7,9.1876,396.9,5.77,24.7
43,0.10328,5.927,47.2,6.932,396.9,9.22,19.6
44,0.11027,6.456,67.8,7.2255,396.9,6.73,22.2
45,0.1265,6.762,43.4,7.9809,395.58,9.5,25
46,0.01951,7.104,59.5,9.2229,393.24,8.05,33
47,0.12816,5.885,33,6.498,396.9,8.79,20.9
49,0.15876,5.961,17.5,5.2873,376.94,9.88,21.7
51,0.19539,6.245,6.2,5.2873,377.17,7.54,23.4
53,0.09512,6.286,45,4.5026,383.23,8.94,21.4
54,0.10153,6.279,74.5,4.0522,373.66,11.97,20
55,0.08707,6.14,45.8,4.0905,386.96,10.27,20.8
56,0.08387,5.874,36.6,4.5026,396.06,9.1,20.3
57,0.04113,6.727,33.5,5.4007,396.9,5.29,28
58,0.04462,6.619,70.4,5.4007,395.63,7.22,23.9
59,0.03551,6.167,46.7,5.4007,390.64,7.51,22.9
60,0.05735,6.63,56.1,4.4377,392.3,6.53,26.6
63,0.04684,6.417,66.1,3.0923,392.18,8.81,22.6
64,0.03932,6.405,73.9,3.0921,393.55,8.2,22
65,0.04203,6.442,53.6,3.6659,395.01,8.16,22.9
70,0.14866,6.727,79.9,2.7778,394.76,9.42,27.5
71,0.11432,6.781,71.3,2.8561,395.58,7.67,26.5
72,0.22876,6.405,85.4,2.7147,70.8,10.63,18.6
73,0.13262,5.851,96.7,2.1069,394.05,16.47,19.5
74,0.1712,5.836,91.9,2.211,395.67,18.66,19.5
75,0.13117,6.127,85.2,2.1224,387.69,14.09,20.4
76,0.12802,6.474,97.1,2.4329,395.24,12.27,19.8
77,0.26363,6.229,91.2,2.5451,391.23,15.55,19.4
78,0.12329,5.913,92.9,2.3534,394.95,16.21,18.8
80,0.14231,6.254,84.2,2.2565,388.74,10.45,18.5
81,0.17134,5.928,88.2,2.4631,344.91,15.76,18.3
82,0.15098,6.021,82.6,2.7474,394.51,10.3,19.2
84,0.14476,5.731,65.2,2.7592,391.5,13.61,19.3
86,0.15038,5.856,97,1.9444,370.31,25.41,17.3
87,0.09849,5.879,95.8,2.0063,379.38,17.58,18.8
90,0.88125,5.637,94.7,1.9799,396.9,18.34,14.3
91,0.34006,6.458,98.9,2.1185,395.04,12.6,19.2
92,0.59005,6.372,97.9,2.3274,385.76,11.12,23
93,0.97617,5.757,98.4,2.346,262.76,17.31,15.6
94,0.55778,6.335,98.2,2.1107,394.67,16.96,18.1
95,0.32264,5.942,93.5,1.9669,378.25,16.9,17.4
99,4.0974,5.468,100,1.4118,396.9,26.42,15.6
100,2.15505,5.628,100,1.5166,169.27,16.65,15.6
101,2.36862,4.926,95.7,1.4608,391.71,29.53,14.6
102,2.33099,5.186,93.8,1.5296,356.99,28.32,17.8
103,2.73397,5.597,94.9,1.5257,351.85,21.45,15.4
106,2.14918,5.709,98.5,1.6232,261.95,15.79,19.4
107,1.41385,6.129,96,1.7494,321.02,15.12,17
108,3.53501,6.152,82.6,1.7455,88.01,15.02,15.6
109,1.42502,6.51,100,1.7659,364.31,7.39,23.3
110,1.46336,7.489,90.8,1.9709,374.43,1.73,50
113,2.44953,6.402,95.2,2.2625,330.04,11.32,22.3
114,1.20742,5.875,94.6,2.4259,292.29,14.43,17.4
115,2.3139,5.88,97.3,2.3887,348.13,12.03,19.1
116,0.13914,5.572,88.5,2.5961,396.9,14.69,23.1
118,0.08447,5.859,68.7,2.7019,393.23,9.64,22.6
119,0.06664,6.546,33.1,3.1323,390.96,5.33,29.4
120,0.05425,6.315,73.4,3.3175,395.6,6.29,24.6
121,0.06642,6.86,74.4,2.9153,391.27,6.92,29.9
124,0.08308,5.604,89.8,2.9879,391,13.98,26.4
125,0.06047,6.153,68.8,3.2797,387.11,13.15,29.6
127,0.07875,6.782,41.1,3.7886,393.87,6.68,32
129,0.0837,7.185,38.9,4.5667,396.9,5.39,34.9
130,0.06911,6.739,30.8,6.4798,389.71,4.69,30.5
131,0.08664,7.178,26.3,6.4798,390.49,2.87,36.4
133,0.04011,7.287,34.1,7.309,396.9,4.08,33.3
135,0.0315,6.975,15.3,7.6534,396.9,4.56,34.9
136,0.0351,7.853,33.2,5.118,392.78,3.81,48.5
137,0.13642,5.891,22.3,3.9454,396.9,10.87,22.6
138,0.22969,6.326,52.5,4.3549,394.87,10.97,24.4
140,0.43571,5.344,100,3.875,396.9,23.09,20
143,0.21719,5.807,53.8,3.6526,390.94,16.03,22.4
144,0.14052,6.375,32.3,3.9454,385.81,9.38,28.1
147,0.0456,5.888,56,3.1121,392.8,13.51,23.3
148,0.07013,6.642,85.1,3.4211,392.78,9.69,28.7
149,0.11069,5.951,93.8,2.8893,396.9,17.92,21.5
150,0.11425,6.373,92.4,3.3633,393.74,10.5,23
151,0.35809,6.951,88.5,2.8617,391.7,9.71,26.7
153,0.62356,6.879,77.7,3.2721,390.39,9.93,27.5
154,0.6147,6.618,80.8,3.2721,396.9,7.6,30.1
155,0.31533,8.266,78.3,2.8944,385.05,4.14,44.8
156,0.52693,8.725,83,2.8944,382,4.63,50
160,0.537,5.981,68.1,3.6715,378.35,11.65,24.3
162,0.44791,6.726,66.5,3.6519,360.2,8.05,29
164,0.08244,6.481,18.5,6.1899,379.41,6.36,23.7
166,0.10612,6.095,65.1,6.3361,394.62,12.4,20.1
170,0.19133,5.605,70.2,7.9549,389.13,18.46,18.5
171,0.1403,6.487,13,7.3967,396.28,5.9,24.4
172,0.04819,6.108,32,9.2203,392.89,6.57,21.9
173,0.01538,7.454,34.2,6.3361,386.34,3.11,44
174,0.66351,7.333,100,1.8946,383.29,7.79,36
175,0.65665,6.842,100,2.0107,391.93,6.9,30.1
176,0.54011,7.203,81.8,2.1121,392.8,9.59,33.8
178,0.82526,7.327,94.5,2.0788,393.42,11.25,31
179,0.76162,5.56,62.8,1.9865,392.4,10.45,22.8
181,0.57834,8.297,67,2.4216,384.54,7.44,50
182,0.09065,5.92,61.5,3.9175,391.34,13.65,20.7
185,0.10469,7.267,49,4.7872,389.25,6.05,33.2
186,0.07978,6.482,32.1,4.1403,396.9,7.19,29.1
187,0.03578,7.82,64.5,4.6947,387.31,3.76,45.4
188,0.01501,7.923,24.8,5.885,395.52,3.16,50
189,0.00906,7.088,20.8,7.3073,394.72,7.85,32.2
190,0.01096,6.453,31.9,7.3073,394.72,8.23,22
192,0.03871,6.209,31.3,7.3172,396.9,7.14,23.2
193,0.03502,6.861,27.9,5.1167,396.9,3.33,28.5
196,0.08199,6.009,42.3,5.5027,396.9,10.4,21.7
197,0.12932,6.678,31.1,5.9604,396.9,6.27,28.6
199,0.14103,5.79,58,6.32,396.9,15.84,20.3
200,0.06466,6.345,20.1,7.8278,368.24,4.97,22.5
204,0.09266,6.495,18.4,5.4917,383.61,8.67,26.4
206,0.05515,7.236,41.1,4.022,393.68,6.93,36.1
207,0.05479,6.616,58.1,3.37,393.36,8.93,28.4
209,0.3494,5.972,76.7,3.1025,396.24,9.97,20.3
210,0.79041,6.122,52.8,2.6403,396.9,5.98,22.1
211,0.26169,6.023,90.4,2.834,396.3,11.72,19.4
212,0.3692,6.567,87.3,3.6023,395.69,9.28,23.8
213,0.25356,5.705,77.7,3.945,396.42,11.5,16.2
214,0.31827,5.914,83.2,3.9986,390.7,18.33,17.8
215,0.24522,5.782,71.7,4.0317,396.9,15.94,19.8
216,0.40202,6.382,67.2,3.5325,395.21,10.36,23.1
217,0.47547,6.113,58.8,4.0019,396.23,12.73,21
218,0.1676,6.426,52.3,4.5404,396.9,7.2,23.8
219,0.18159,6.376,54.3,4.5404,396.9,6.87,23.1
220,0.35114,6.041,49.9,4.7211,396.9,7.7,20.4
221,0.28392,5.708,74.3,4.7211,391.13,11.74,18.5
222,0.34109,6.415,40.1,4.7211,396.9,6.12,25
223,0.19186,6.431,14.7,5.4159,393.68,5.08,24.6
224,0.24103,6.083,43.7,5.4159,396.9,12.79,22.2
225,0.06617,5.868,25.8,5.2146,382.44,9.97,19.3
226,0.04544,6.144,32.2,5.8736,368.57,9.09,19.8
227,0.05023,5.706,28.4,6.6407,394.02,12.43,17.1
228,0.03466,6.031,23.3,6.6407,362.25,7.83,19.4
230,0.03961,6.037,34.5,5.9853,396.9,8.01,21.1
231,0.03427,5.869,46.3,5.2311,396.9,9.8,19.5
233,0.05497,5.985,45.4,4.8122,396.9,9.74,19
235,0.01301,7.241,49.3,7.0379,394.74,5.49,32.7
237,0.03113,6.014,48.5,8.0136,385.64,10.53,17.5
239,0.0187,6.516,27.7,8.5353,392.43,6.36,23.1
241,0.02899,6.939,34.5,8.7921,389.85,5.89,26.6
242,0.0795,6.579,35.9,10.7103,370.78,5.49,24.1
243,0.07244,5.884,18.5,10.7103,392.33,7.79,18.6
244,0.01709,6.728,36.1,12.1265,384.46,4.5,30.1
245,0.10659,5.936,19.5,10.5857,376.04,5.57,20.6
246,8.98296,6.212,97.4,2.1222,377.73,17.6,17.8
251,3.83684,6.251,91.1,2.2955,350.65,14.19,19.9
255,5.66998,6.683,96.8,1.3567,375.33,3.73,50
257,18.4982,4.138,100,1.137,396.9,37.97,13.8
259,9.82349,6.794,98.8,1.358,396.9,21.24,13.3
260,23.6482,6.38,96.2,1.3861,396.9,23.69,13.1
261,17.8667,6.223,100,1.3861,393.74,21.78,10.2
263,15.8744,6.545,99.1,1.5192,396.9,21.08,10.9
264,9.18702,5.536,100,1.5804,396.9,23.6,11.3
266,20.0849,4.368,91.2,1.4395,285.83,30.63,8.8
267,16.8118,5.277,98.1,1.4261,396.9,30.81,7.2
268,24.3938,4.652,100,1.4672,396.9,28.28,10.5
270,14.3337,4.88,100,1.5895,372.92,30.62,10.2
273,5.29305,6.051,82.5,2.1678,378.38,18.76,23.2
275,8.64476,6.193,92.6,1.7912,396.9,15.17,13.8
277,14.2362,6.343,100,1.5741,396.9,20.32,7.2
279,24.8017,5.349,96,1.7028,396.9,19.77,8.3
281,67.9208,5.683,100,1.4254,384.97,22.98,5
284,14.0507,6.657,100,1.5275,35.05,21.22,17.2
285,18.811,4.628,100,1.5539,28.79,34.37,17.9
286,28.6558,5.155,100,1.5894,210.97,20.08,16.3
287,18.0846,6.434,100,1.8347,27.25,29.05,7.2
288,73.5341,5.957,100,1.8026,16.45,20.62,8.8
291,7.02259,6.006,95.3,1.8746,319.98,15.7,14.2
292,12.0482,5.648,87.6,1.9512,291.55,14.1,20.8
293,7.05042,6.103,85.1,2.0218,2.52,23.29,13.4
295,15.8603,5.896,95.4,1.9096,7.68,24.39,8.3
296,7.36711,6.193,78.1,1.9356,96.73,21.52,11
297,9.33889,6.38,95.6,1.9682,60.72,24.08,9.5
298,8.49213,6.348,86.1,2.0527,83.45,17.64,14.5
299,10.0623,6.833,94.3,2.0882,81.33,19.69,14.1
300,5.58107,6.436,87.9,2.3158,100.19,16.22,14.3
301,14.4208,6.461,93.3,2.0026,27.49,18.05,9.6
302,15.1772,6.152,100,1.9142,9.32,26.45,8.7
303,9.39063,5.627,93.9,1.8172,396.9,22.88,12.8
304,22.0511,5.818,92.4,1.8662,391.45,22.11,10.5
305,5.66637,6.219,100,2.0048,395.69,16.59,18.4
306,9.96654,6.485,100,1.9784,386.73,18.85,15.4
309,9.92485,6.251,96.6,2.198,388.52,16.44,12.6
310,9.32909,6.185,98.7,2.2616,396.9,18.13,14.1
312,5.44114,6.655,98.2,2.3552,355.29,17.73,15.2
313,5.09017,6.297,91.8,2.3682,385.09,17.27,16.1
315,9.51363,6.728,94.1,2.4961,6.68,18.71,14.9
316,4.75237,6.525,86.5,2.4358,50.92,18.13,14.1
317,8.20058,5.936,80.3,2.7792,3.5,16.94,13.5
318,6.80117,6.081,84.4,2.7175,396.9,14.7,20
319,3.69311,6.376,88.4,2.5671,391.43,14.65,17.7
320,6.65492,6.317,83,2.7344,396.9,13.99,19.5
321,5.82115,6.513,89.9,2.8016,393.82,10.29,20.2
322,7.83932,6.209,65.4,2.9634,396.9,13.22,21.4
323,3.77498,5.952,84.7,2.8715,22.01,17.15,19
324,4.34879,6.167,84,3.0334,396.9,16.29,19.9
325,4.03841,6.229,90.7,3.0993,395.33,12.87,19.6
326,3.56868,6.437,75,2.8965,393.37,14.36,23.2
328,6.39312,6.162,97.4,2.206,302.76,24.1,13.3
329,4.87141,6.484,93.6,2.3053,396.21,18.68,16.7
331,5.82401,6.242,64.7,3.4242,396.9,10.74,23
332,5.70818,6.75,74.9,3.3317,393.07,7.74,23.7
333,2.81838,5.762,40.3,4.0983,392.92,10.42,21.8
335,5.69175,6.114,79.8,3.5459,392.68,14.98,19.1
336,4.83567,5.905,53.2,3.1523,388.22,11.45,20.6
337,0.18337,5.414,98.3,1.7554,344.05,23.97,7
339,0.27957,5.926,42.6,2.3817,396.9,13.59,24.5
340,0.17899,5.67,28.8,2.7986,393.29,17.6,23.1
341,0.2896,5.39,72.9,2.7986,396.9,21.14,19.7
342,0.26838,5.794,70.6,2.8927,396.9,14.1,18.3
344,0.04527,6.12,76.7,2.2875,396.9,9.08,20.6
346,0.10959,6.794,89.3,2.3889,393.45,6.48,22
