GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,DemMedHomeValue,DemPctVeterans,DemMedIncome
3,12,3,8,10,8.67,8.5,9,93,14,22,44,2,6,16,139200,27,38942
3,11,2,9,11,10.33,8.27,22,102,11,21,45,5,10,22,253100,0,92514
2,13,1,8,13.11,9.06,3.93,19,75,7,15,29,2,6,13,134400,41,0
4,9,3,7,7,5.5,5.22,21,44,6,14,19,2,6,8,62500,28,0
1,20,1,8,25,36,26.95,18,105,21,39,101,6,17,30,51500,37,44947
1,1,1,1,15,15,15,19,19,7,11,10,2,4,4,218900,26,0
2,12,1,6,12,11,6.08,20,112,15,34,69,6,14,28,52900,35,53400
2,2,1,1,20,17.5,17.5,18,23,12,24,21,6,12,10,107100,32,77654
2,14,0,4,13,11,7.21,21,86,12,30,59,5,5,23,68300,31,43756
8,21,6,12,9,7.25,9.24,4,75,25,46,88,11,21,32,86000,35,51338
5,18,3,13,8,7.6,5.67,16,130,11,30,70,6,16,30,43900,43,28618
1,1,1,1,15,15,15,19,19,10,16,14,4,7,6,74400,42,41736
3,13,2,10,10,10,8.92,20,110,13,30,57,6,13,23,57600,19,0
11,38,7,23,5,5.09,4.97,15,127,14,34,83,7,18,34,66900,40,42537
4,20,3,11,10,11.25,7.85,18,109,6,14,43,2,6,19,93700,44,0
6,28,4,17,10,10.5,8.75,16,126,15,35,86,6,17,34,78600,18,82719
4,5,2,2,6,6.75,6.6,15,24,13,22,21,5,9,8,124500,27,0
3,17,3,9,10,6.67,6.71,18,63,13,33,61,5,15,21,62100,19,40308
4,5,2,3,10,13,15.4,15,44,14,35,43,6,16,16,54200,32,43084
1,4,1,3,20,20,11.25,17,53,14,31,38,6,14,15,106400,25,53635
3,4,3,3,11,11,9.75,16,27,13,27,27,6,13,11,85300,14,65546
9,22,7,11,15,13.33,11.55,4,112,30,50,102,11,22,41,161800,30,84071
2,7,1,4,21,21,12.43,17,87,15,33,59,6,14,23,77000,30,43231
9,28,7,19,5,5,5,17,92,13,30,62,6,17,27,48700,27,33629
4,18,0,8,10,8.25,6.44,15,130,14,34,75,6,6,31,41200,14,27259
3,4,3,3,8,6,7,16,29,12,25,24,6,12,10,87000,30,46776
4,6,1,1,10,6.25,6.67,18,40,13,33,35,6,15,14,63500,26,50251
5,11,4,6,14,11.6,9.09,17,87,14,35,57,6,17,23,50600,36,45282
5,15,5,10,10,8.2,6.53,18,62,14,36,52,6,17,21,107000,32,0
2,6,1,4,20,20,14.5,16,87,13,34,60,6,16,23,112800,32,92715
1,1,1,1,20,20,20,17,17,10,15,13,4,6,5,51900,24,36337
2,9,1,5,25,20,10.89,20,128,13,35,63,6,17,29,55200,34,43669
4,5,2,3,12,13.25,11.6,18,41,15,35,38,6,15,14,81600,42,44986
3,9,1,5,10,11.33,11.33,17,81,13,31,57,6,13,20,53800,33,41976
2,24,0,6,26,27.5,20.17,5,126,25,42,101,4,4,28,51000,51,40364
2,3,2,3,15,12.5,15,15,24,6,11,10,2,5,5,53700,43,0
3,4,2,2,19,14.33,12,15,44,12,28,35,3,10,12,51700,27,46573
2,2,0,0,25,17.5,17.5,19,27,13,27,24,6,6,11,56200,23,41391
3,8,1,4,30,23.33,17.63,17,80,13,34,60,6,16,23,128500,28,90527
6,7,3,3,7,5.67,5.29,18,40,13,33,33,6,15,14,63200,44,44357
4,4,3,3,14,12,12,17,35,12,26,26,6,14,12,94900,34,45690
3,3,2,2,25,25.67,25.67,16,23,14,22,20,6,10,8,40300,21,31294
5,13,2,8,7,7.4,7.23,15,99,11,26,54,5,11,23,142700,58,66263
4,41,2,24,9,10,8.68,23,112,4,12,44,2,6,20,107000,43,0
2,2,2,2,15,12.5,12.5,20,24,6,11,11,2,5,5,55000,31,0
3,9,1,6,14,14,9.78,19,113,16,35,63,6,14,26,90300,36,51649
3,3,1,1,20,14,14,21,32,13,27,26,6,13,11,149100,37,0
3,4,3,3,19,18,15.75,21,37,12,30,31,6,15,13,73800,39,65734
5,12,4,8,11,10,8.5,17,67,13,32,50,6,17,22,50400,40,29144
4,20,3,9,10,10,9.6,10,102,37,56,109,6,16,30,40400,34,34398
4,15,1,9,13,12,8.53,18,107,13,35,69,6,17,28,97400,56,0
5,6,3,3,5,4.8,5,18,33,13,30,29,6,14,12,50400,25,35515
5,14,3,7,10,10.4,12.21,20,89,13,33,67,6,17,26,63100,30,47156
1,1,1,1,15,15,15,23,23,8,18,16,3,7,6,66800,32,40184
5,9,3,6,10,16.2,12.22,15,75,16,36,56,6,15,20,51700,30,37049
8,11,4,4,7,7.63,7,15,40,13,31,34,6,16,15,86300,48,0
2,18,1,13,10,10,8.78,24,130,12,30,73,4,11,28,67800,46,0
7,31,5,14,10,10,6,22,129,22,42,110,9,19,44,47500,30,0
2,13,0,8,10,10,6.92,20,126,7,21,62,3,3,25,52500,28,45627
2,3,1,1,25,17.5,20,17,29,14,29,27,6,14,12,49800,28,39725
2,16,1,11,10,10,6.88,23,128,10,29,71,4,12,30,49800,21,45536
5,10,2,5,8,8,7.5,18,113,12,31,52,6,14,23,54300,36,41125
3,11,3,8,13,11,10.36,17,105,13,32,63,6,15,27,48100,32,34388
3,7,1,3,20,18,14.57,18,76,14,35,58,6,16,22,52900,27,36151
1,12,0,5,25,25,15.5,5,123,15,37,74,6,6,32,70100,40,41358
2,11,1,7,15,12,9.91,26,110,10,20,39,4,9,19,82400,37,43304
1,1,1,1,20,20,20,26,26,7,19,16,3,8,7,82400,37,0
2,18,0,9,38,38,27.28,26,119,13,35,80,5,5,31,109500,38,49451
2,19,2,12,10,20.5,10.11,16,121,27,40,82,5,14,31,104400,45,49656
2,20,2,13,12,11,9.95,21,124,13,32,77,6,15,30,44400,31,35945
3,16,1,8,5,5,5.06,8,119,17,35,72,6,14,30,68000,30,32465
3,3,1,1,10,10,10,18,24,12,23,21,6,11,9,51400,28,45878
11,31,6,14,3,4.18,3.36,7,128,16,37,74,7,18,31,62000,30,41952
2,18,1,13,10,10,4.94,15,125,11,28,72,3,10,28,53600,24,31140
1,14,1,12,10,10,9.57,17,129,7,12,37,3,7,20,101500,47,56392
2,3,2,2,10,7.5,7,16,20,6,9,9,2,4,4,101500,47,0
1,6,0,3,20,20,12.83,25,111,9,27,60,4,4,25,81000,28,71568
3,6,2,2,10,14,12,18,35,13,31,31,6,15,13,76100,45,55068
4,23,1,12,20,15.75,14.36,18,85,2,9,27,1,4,14,55000,17,0
4,5,2,2,15,8,9.4,17,32,13,29,27,6,13,11,68800,33,57930
3,5,2,2,20,18.67,19.6,20,44,13,35,42,6,17,17,49000,27,40705
3,12,2,8,10,9.33,7.25,22,88,13,33,60,6,16,24,86900,30,49025
5,16,3,8,14,10.8,9.06,18,80,15,34,62,6,17,25,38100,34,40049
3,22,2,7,18,20,13.91,18,130,34,54,116,6,17,33,39900,28,36977
3,6,1,2,25,14,13.17,18,42,13,33,33,6,15,14,68900,51,26328
2,2,2,2,15,12.5,12.5,17,30,11,20,17,4,9,8,72800,43,0
1,2,1,2,16,16,13,21,45,10,24,29,4,9,10,108200,28,67067
4,11,4,8,10,7.75,7.18,17,97,13,28,63,6,15,24,44100,20,52847
3,13,2,7,16,12,8.77,23,128,12,33,67,6,16,31,78100,46,41794
2,5,0,2,20,20,12.2,18,68,13,33,47,6,6,18,38300,5,41794
4,32,3,12,7,7.5,6.84,8,105,37,53,122,7,15,31,59800,20,40235
6,8,3,4,5,5,5,18,45,14,31,36,6,15,15,71400,18,34814
2,14,1,10,30,25,12.29,16,126,12,31,75,5,15,32,83200,35,43508
6,30,4,20,6,5.83,5.77,17,112,5,13,44,1,5,18,91800,38,0
2,6,1,4,15,12.5,8.5,18,89,13,30,50,4,11,18,35500,32,46891
5,17,4,11,22,22.2,14.82,17,104,15,35,76,6,16,31,60800,33,0
2,8,1,5,25,25,21.5,20,124,13,33,70,6,17,30,46800,29,37808
5,20,1,11,3,4.6,4.9,19,126,9,28,68,4,12,29,42000,27,40000
2,7,0,2,20,15,10.43,26,87,10,31,59,5,5,22,40000,29,37591
1,1,1,1,20,20,20,24,24,7,17,15,3,7,6,47400,24,43787
10,42,6,19,5,5.2,5.07,19,115,11,31,77,5,16,32,48200,26,39731
6,30,4,17,4,4.17,3.97,18,131,10,29,70,5,15,30,49900,38,40155
3,3,2,2,20,16.67,16.67,17,24,16,27,25,6,11,9,40700,16,0
7,11,3,5,6,6.43,5.91,16,45,12,34,39,6,17,17,121600,25,59691
1,1,1,1,15,15,15,17,17,10,15,13,4,6,5,80400,30,58723
2,4,2,2,15,15,11.5,22,52,11,30,42,5,13,15,89400,23,65894
3,3,2,2,32,32.33,32.33,19,29,13,27,26,6,13,11,127600,29,57094
4,7,2,4,10,11.5,9,19,53,9,24,35,4,11,13,103400,24,0
6,6,2,2,12,11,11,18,33,15,33,31,6,14,12,62900,18,81378
4,6,3,4,6,10.75,9,17,40,13,30,33,6,15,14,171700,19,59717
6,11,4,8,15,17.67,15.09,17,69,14,35,57,6,17,22,127100,28,0
2,22,2,14,15,14,10.82,24,129,11,31,76,6,15,32,79400,41,37290
0,1,0,0,25,0,25,22,22,10,10,16,4,4,6,91400,38,67625
2,4,0,2,50,37.5,23.75,18,69,13,28,46,6,6,17,116600,0,78798
1,1,1,1,15,15,15,21,21,8,15,13,3,6,5,56200,24,0
2,2,2,2,30,20,20,16,27,13,27,23,6,13,11,50300,25,0
4,21,4,14,11,10.75,6.38,17,128,16,32,75,6,15,29,75600,19,53272
1,6,0,4,20,20,9.17,26,116,9,28,55,4,4,23,44200,28,0
3,16,1,7,12,11.33,8,19,114,12,32,74,5,14,31,101000,31,54898
1,3,1,2,25,20,20,6,19,24,28,26,9,11,10,91600,19,45932
1,3,0,2,15,15,11.67,18,57,12,27,38,4,4,13,80300,29,45932
5,6,3,3,6,5.4,5.17,19,29,13,26,24,6,12,10,74500,12,50350
1,5,0,2,25,25,9.8,26,81,10,29,48,5,5,18,89600,36,43621
9,33,7,18,5,5.56,5.27,17,121,14,33,82,6,17,33,307700,30,70971
2,10,2,8,19,19,15.1,22,92,12,33,62,6,16,26,330600,36,0
7,13,5,6,7,5.43,4.92,16,44,15,36,41,6,17,17,50700,34,36955
6,14,3,6,3,4.5,4.43,18,79,11,28,55,6,15,21,57100,27,42875
2,16,2,6,12,11,5.81,17,86,13,33,63,6,15,24,71800,31,37561
3,7,1,2,15,13.67,11.86,16,63,13,33,49,6,15,18,52300,24,41277
1,1,1,1,15,15,15,17,17,11,16,14,4,6,5,80300,20,0
3,8,1,4,26,23.67,17.38,18,67,16,35,55,6,17,22,92000,30,0
3,14,1,10,6,9.33,5.57,17,116,9,23,58,4,10,22,50800,43,36294
5,18,1,5,8,8,8.17,18,65,13,34,53,6,16,22,45300,40,0
1,14,0,7,17,17,9.64,26,113,9,26,66,4,4,25,59300,25,36263
1,1,1,1,20,20,20,24,24,7,17,15,3,7,6,148300,28,61802
1,14,0,6,50,50,20.43,18,111,13,33,74,6,6,31,62900,76,39625
2,7,1,5,6,13,9,19,104,13,30,55,6,13,23,35900,0,0
1,2,1,1,16,16,13,24,33,9,25,24,4,11,10,67900,33,54456
1,1,1,1,25,25,25,17,17,12,17,14,5,7,6,35100,43,29054
3,18,1,10,10,10,5.44,15,105,12,30,69,5,13,26,32300,45,0
2,3,2,2,15,12.5,9.67,24,33,9,27,28,4,12,11,47500,27,34643
2,18,0,11,9,12,4.89,16,126,13,32,74,6,6,32,67100,0,0
4,5,2,2,7,6.75,6.6,22,32,13,30,28,6,14,12,55500,44,42797
1,5,0,1,21,21,15.2,25,67,11,32,50,6,6,21,98500,37,54217
3,6,2,5,22,22.33,18.5,20,77,15,32,54,6,14,20,151300,35,92425
0,1,0,0,25,0,25,19,19,10,10,12,4,4,4,154800,44,92425
3,14,1,5,6,13.33,8,18,79,24,38,60,4,11,16,73900,38,48418
6,17,5,14,5,5.33,4.76,21,105,11,28,66,5,14,26,82500,64,46476
3,5,2,2,20,20,16.4,18,40,13,35,40,6,17,16,81400,44,42391
6,14,4,7,11,13.83,12.21,20,80,17,35,69,6,16,27,85600,51,42391
3,3,2,2,10,11.67,11.67,19,29,12,27,25,6,13,11,107300,38,49601
1,6,0,3,37,37,23.83,18,92,13,32,62,6,6,23,53300,35,0
5,10,1,1,12,12.8,10.7,18,40,28,49,53,6,16,16,36800,34,26487
1,2,0,1,15,15,15,18,41,10,26,28,4,4,11,54600,46,40504
2,5,2,3,15,17.5,12.2,16,53,13,32,41,6,14,15,69500,40,47318
2,21,1,11,10,10,10.19,15,110,12,31,74,5,13,27,85200,40,47318
4,16,2,7,11,11.25,9.81,16,124,14,36,76,6,17,32,75400,38,0
5,16,2,9,8,6.6,6.25,17,102,12,34,66,6,17,29,67100,41,60541
1,11,0,4,3,20,14.09,9,104,14,35,69,6,6,27,62500,33,50554
2,11,2,7,15,12.5,4.55,17,79,10,17,31,5,10,14,135200,45,66839
2,13,0,7,11,10.5,8.54,19,74,13,34,57,6,6,23,70200,26,66839
11,30,6,14,7,7.36,6.73,4,56,18,37,58,7,17,22,92300,28,0
3,7,0,4,15,15,14.57,18,90,13,32,58,6,6,24,56300,50,42862
4,6,2,2,10,7.25,7.5,17,32,15,33,32,6,15,13,34100,36,35000
7,10,6,7,6,5.43,4.9,17,41,13,32,35,6,16,15,80100,53,44775
4,15,3,6,20,20,17.87,22,97,14,36,69,6,17,27,71700,36,45466
2,21,0,7,14,14,11.48,18,126,8,17,57,3,3,23,83700,39,41005
8,15,5,12,15,19,19.67,15,105,14,34,69,6,16,29,83500,45,49337
2,9,1,5,15,18,12.22,18,76,13,34,57,6,16,22,114500,28,56282
5,13,3,5,15,19,13.46,24,86,7,23,48,4,12,18,75600,47,0
2,5,1,4,15,15,15.4,23,51,12,23,24,6,12,13,70500,42,40364
7,11,4,7,15,20.71,20,15,57,15,35,53,6,17,21,167500,41,67326
4,14,3,9,10,10.5,7.64,18,105,12,31,63,5,15,27,64000,29,46394
3,4,2,3,17,15.67,13,17,44,13,30,34,6,15,15,135700,33,68639
3,16,2,12,32,24,20.88,18,121,13,35,80,6,17,33,139500,32,0
2,14,0,5,10,10,6.64,18,128,9,23,42,3,3,16,354200,26,0
1,4,0,2,20,20,12.25,17,64,12,27,43,6,6,15,83300,41,49287
2,10,2,8,20,20,20,20,128,11,27,67,4,11,28,102800,46,53710
2,7,0,3,25,22.5,17.14,18,52,13,34,44,6,6,18,62500,37,38082
8,31,6,19,5,5.25,4.26,17,103,12,30,70,6,17,30,85300,49,49725
2,12,1,8,14,13,7.67,25,129,9,25,61,4,11,26,57500,28,34796
8,13,5,10,14,12.5,12.08,17,56,14,34,51,6,17,21,54600,27,45763
0,9,0,4,0,0,18.33,4,113,30,30,93,5,5,26,130500,48,52936
1,3,0,1,25,25,15,17,44,15,31,35,6,6,13,95700,65,58016
2,3,2,2,10,22.5,18.33,16,24,13,23,22,6,11,9,156900,56,68845
5,14,3,7,10,8.4,7.29,19,104,13,35,67,6,17,27,425900,61,110149
6,20,4,11,15,13.5,11.1,17,89,16,36,71,6,17,26,88500,40,41444
5,5,2,2,25,24,24,19,33,12,30,30,6,15,13,363700,34,34619
2,7,1,3,12,12,7.14,16,66,13,23,38,6,10,15,225000,33,34619
1,4,0,2,50,50,25,18,89,15,28,51,6,6,19,93400,5,31141
1,2,1,2,15,15,12.5,21,41,10,26,30,4,10,10,72400,35,46301
8,21,5,12,6,4.25,3.86,18,80,13,34,60,6,17,25,74200,30,61743
2,11,0,3,12,9.5,8.82,16,53,29,47,63,6,6,16,58600,19,31314
4,8,3,5,10,9.25,7.88,15,75,15,33,41,6,14,16,138000,13,49513
7,24,4,13,7,5.29,5.25,5,63,21,40,60,6,16,22,55000,13,40210
1,5,1,2,25,25,18,20,57,16,32,64,6,12,13,130700,35,61523
5,23,3,12,4,6.2,3.96,15,125,11,29,63,4,12,25,77500,33,49180
1,1,0,0,25,25,25,15,15,9,11,11,3,3,4,80100,29,41764
1,1,1,1,20,20,20,16,16,12,17,14,5,7,6,82500,0,0
2,7,1,5,25,22.5,15.29,20,78,13,31,52,6,13,20,90600,20,0
2,2,1,1,25,14,14,18,29,13,21,18,6,10,8,198700,22,27206
3,19,2,12,10,10.67,10.68,17,124,16,35,84,8,18,34,170100,27,0
4,6,2,3,20,12.5,10.5,17,45,13,34,40,6,16,16,87900,13,35498
2,4,2,3,15,13,10,24,50,11,26,38,5,11,14,163100,0,0
5,18,3,13,10,5.6,4.72,18,128,13,33,68,6,17,30,74700,39,42523
3,27,3,13,10,10,8.3,6,123,29,49,101,6,16,35,125800,26,62830
5,17,3,12,2,4,3.12,17,88,12,28,56,5,12,21,109800,30,41607
7,12,5,6,3,3.14,2.92,17,41,26,43,51,6,15,16,308300,31,41607
5,10,3,5,8,6.6,5.5,19,44,12,31,38,6,16,16,145800,39,62781
1,11,0,7,20,20,14.82,26,113,10,31,68,5,5,27,114400,27,46777
1,5,0,2,26,26,16,16,76,11,28,46,5,5,18,197900,31,38906
5,26,4,16,7,8.4,9.58,22,124,13,32,77,6,16,31,133200,38,68869
2,8,2,4,20,15,9.25,16,68,14,31,54,6,14,19,109300,37,59874
7,8,4,4,5,4.43,4.25,17,29,12,25,25,6,12,10,109300,37,59874
7,24,5,9,15,13.14,11.46,17,110,30,48,98,6,17,33,55300,23,42295
3,12,3,9,20,18,11.67,25,130,11,31,62,6,17,30,118700,46,42429
4,19,2,9,24,24.5,17.89,16,106,4,12,40,2,6,19,72000,0,0
2,13,1,7,10,11,9.54,18,105,13,33,69,6,15,25,96500,43,44404
6,12,5,8,15,14,12.33,19,53,13,33,47,6,17,19,89700,29,43310
4,18,1,13,8,7.75,6.06,15,127,9,24,57,4,10,23,90800,24,43310
4,8,3,7,10,6.25,5.38,16,53,14,33,44,6,14,17,235700,21,64434
5,6,1,2,7,6.2,5.67,18,41,12,27,25,6,12,11,80300,34,0
5,14,3,6,13,12,9.43,19,77,13,34,59,6,16,23,55600,35,48602
5,7,2,3,12,11.4,9.86,17,44,15,33,37,6,15,15,150300,31,0
2,14,2,11,10,14,8.79,22,130,12,31,73,6,16,31,76800,44,59625
2,2,0,0,15,10,10,20,32,10,22,23,4,4,7,46700,36,40993
1,1,0,0,15,15,15,20,20,10,16,15,4,4,5,46700,36,47060
6,23,3,15,5,5,4.91,15,130,7,27,73,4,14,31,164200,43,53046
1,11,0,5,5,5,5.73,5,92,24,41,70,4,4,17,74200,49,43877
6,14,4,9,10,9.67,8.5,19,89,13,35,62,6,17,25,91700,38,50524
5,8,4,5,6,9.8,8.38,16,52,7,15,23,2,6,9,86500,0,0
1,1,1,1,25,25,25,23,23,10,20,19,4,8,7,117200,38,0
2,2,2,2,15,12.5,12.5,16,31,11,25,22,4,10,9,0,0,0
3,3,1,1,11,7.67,7.67,15,23,11,18,16,5,8,7,81700,28,0
6,10,4,5,5,6.33,5.6,18,53,12,30,37,6,16,16,40000,38,34341
4,16,3,9,10,9.25,5.94,15,105,6,22,55,3,11,23,69500,17,34943
4,6,4,4,5,7.5,6.67,18,33,12,28,28,6,15,13,68000,40,32263
4,4,2,2,14,8.75,8.75,18,27,16,29,27,6,12,10,41900,16,34330
1,1,1,1,20,20,20,21,21,11,18,16,4,7,6,82400,63,46780
2,3,0,1,17,12,9.67,26,52,11,24,34,4,4,11,44000,17,38632
2,7,1,2,20,20,15.57,16,104,15,35,60,6,15,21,94400,37,38632
3,3,3,3,17,14,14,17,33,12,30,28,6,14,12,138500,39,49147
1,4,0,0,15,15,10,26,44,9,29,34,4,4,14,73100,48,49147
2,12,1,10,13,12,7,18,109,14,29,51,6,13,23,66500,51,0
3,12,0,6,21,17,13.58,20,115,13,34,74,6,6,29,58500,34,39015
2,4,1,1,25,20,17,22,65,15,35,46,6,15,15,56000,31,0
7,15,5,7,11,9.29,8.27,16,56,15,36,52,6,17,20,0,45,0
3,4,2,2,6,6.33,6.25,17,28,13,26,26,6,12,10,84500,37,73831
4,9,3,5,15,10,8.11,18,64,7,27,41,4,13,17,203800,51,0
1,1,0,0,15,15,15,15,15,7,9,9,2,2,3,116700,37,0
4,30,1,15,5,4.5,3.57,16,130,12,30,73,5,13,30,132200,34,73930
1,1,1,1,20,20,20,24,24,7,17,15,3,7,6,116500,49,43692
6,18,4,7,3,8.33,6.39,15,69,8,19,38,4,12,15,62000,33,34491
2,13,2,11,10,13.5,10.46,17,130,22,32,69,9,13,29,121900,43,54028
2,12,1,5,17,12.5,12.17,17,76,35,54,99,11,20,28,91200,48,0
3,26,3,10,10,10,10.12,4,118,37,57,126,6,15,30,67700,24,50359
3,4,0,0,25,19.67,16.75,18,44,15,32,35,6,6,13,76800,31,51648
1,13,1,3,25,25,14.69,21,93,24,43,85,6,15,18,59500,46,37481
5,18,4,13,5,5,4.44,15,128,10,30,62,5,14,29,122600,60,45651
1,5,0,2,20,20,9.4,19,66,15,31,48,6,6,17,94800,53,45651
3,10,1,4,6,14.67,9.6,15,52,18,34,37,7,15,16,72600,56,0
4,9,2,4,16,11,9.67,16,45,26,45,57,7,17,20,65600,52,0
1,16,0,10,10,10,7.19,17,110,12,25,52,5,5,23,64600,55,39302
3,12,2,8,10,10,9.25,18,107,13,34,72,6,16,31,63100,61,37183
2,3,1,1,20,17.5,15,17,44,14,32,37,6,14,14,49200,49,33933
5,5,2,2,6,5.6,5.6,16,32,13,27,24,6,12,10,56600,53,33707
2,2,1,1,30,27.5,27.5,16,20,14,22,18,6,10,8,56600,53,33707
5,19,4,9,12,10.4,8.58,20,113,13,34,69,6,16,27,87700,38,47308
4,10,2,4,21,19.5,15.8,19,64,13,33,53,6,17,22,138500,47,77368
4,5,3,3,10,8.5,8,19,28,13,26,25,6,12,10,115500,49,54367
2,2,2,2,15,12.5,12.5,16,20,14,22,19,6,10,8,115500,49,54367
7,9,3,3,6,5.29,5,18,32,13,30,31,6,14,12,62400,26,0
10,34,5,12,21,19.4,17.06,4,64,35,55,105,11,22,36,86000,40,48783
1,7,1,5,16,16,13.14,19,92,15,33,60,6,14,24,97300,39,54911
3,22,1,12,12,11.33,11.18,16,113,15,35,77,6,15,29,91600,49,41086
7,7,5,5,10,12.29,12.29,18,29,14,28,27,6,14,12,109600,40,48866
7,15,5,9,11,10.29,7.47,18,88,14,33,58,6,16,23,71500,32,46679
9,41,5,21,4,5.33,5,15,129,12,33,81,5,16,33,68400,28,35635
6,6,4,4,13,11.33,11.33,16,33,16,33,32,6,14,12,71900,41,38325
2,11,0,6,25,22.5,9.82,18,115,13,33,70,6,6,29,74600,25,62714
3,26,2,11,5,5,5.12,17,130,12,28,71,5,11,28,41300,29,38339
3,13,1,5,10,10,7,18,125,8,22,54,4,11,23,45300,29,31250
5,7,3,4,5,5,4.14,16,52,12,24,27,5,10,10,95000,17,54188
3,17,2,10,10,8,5.24,22,124,11,31,69,5,14,30,47500,46,33116
4,5,3,3,20,13.75,12,16,32,14,27,28,6,11,9,45500,27,0
4,16,1,9,10,10,8.63,19,124,15,35,77,6,16,32,57000,31,41040
1,18,0,11,10,10,7.61,23,126,10,27,67,4,4,28,76500,34,60721
7,15,3,7,10,7.43,6.87,17,52,13,35,49,6,17,20,68100,33,61132
5,14,4,8,10,7.2,8,16,130,9,24,40,4,13,20,26600,34,38714
1,1,1,1,25,25,25,16,16,12,17,14,5,7,6,51100,31,46910
6,22,5,15,11,11.5,8,22,127,13,35,80,6,17,33,47800,27,37149
6,9,4,4,5,9.33,8.44,16,35,14,32,32,6,15,13,40800,40,0
2,3,0,0,15,13.5,12.33,18,31,12,26,24,6,6,10,42500,29,45691
